track_name,artist_names,mood,valence,energy,danceability,tempo
Vaina Loca,"Ozuna, Manuel Turizo",energetic,0.555,0.805,0.754,93.983
Calm Down (with Selena Gomez),"Rema, Selena Gomez",happy,0.811,0.802,0.799,107.008
Hot2Touch,"Felix Jaehn, Hight, Alex Aiono",happy,0.813,0.719,0.755,121.986
Bad Liar,Selena Gomez,calm,0.718,0.41,0.953,121.074
Escape From LA,The Weeknd,calm,0.168,0.524,0.404,145.74
Sandra’s Rose,Drake,energetic,0.523,0.85,0.487,152.102
Oh Lord,MiC LOWRY,energetic,0.377,0.794,0.273,95.902
Issues,Julia Michaels,calm,0.426,0.427,0.683,113.634
Apaga El Cel,"Calle 24, Chino Pacas",happy,0.814,0.842,0.744,125.258
Lights Down Low,MAX,calm,0.594,0.493,0.623,81.019
POPSTAR (feat. Drake),"DJ Khaled, Drake",calm,0.474,0.565,0.803,163.085
Lose Somebody,"Kygo, OneRepublic",calm,0.507,0.586,0.58,147.988
Kein Plan,"Loredana, MERO",happy,0.78,0.699,0.878,102.01
I Miss You (feat. Bahari),"Grey, Bahari",happy,0.704,0.764,0.65,102.01
Darkside,"Alan Walker, Au/Ra, Tomine Harket",calm,0.112,0.642,0.425,170.008
AOK,Tai Verdes,happy,0.862,0.626,0.731,82.488
Gris,J Balvin,happy,0.916,0.709,0.849,93.06
One Point Perspective,Arctic Monkeys,calm,0.842,0.585,0.714,77.104
Whoopty,CJ,happy,0.66,0.648,0.719,140.201
"SPIRIT - From Disney's ""The Lion King""",Beyoncé,sad,0.0466,0.435,0.448,80.849
3 Nights,Dominic Fike,calm,0.877,0.518,0.815,151.891
In My Head,Peter Manos,sad,0.0747,0.181,0.499,111.956
What You Know Bout Love,Pop Smoke,calm,0.543,0.548,0.709,83.995
Curve (feat. The Weeknd),"Gucci Mane, The Weeknd",sad,0.354,0.476,0.76,147.01
Bellaquita,"Dalex, Lenny Tavárez",happy,0.765,0.698,0.584,166.047
Airplane pt.2,BTS,happy,0.866,0.817,0.769,139.979
Clout (feat. 21 Savage),"Ty Dolla $ign, 21 Savage",happy,0.715,0.728,0.88,160.976
Owe Me,Big Sean,calm,0.404,0.609,0.62,142.042
Blank Space,Taylor Swift,energetic,0.57,0.703,0.76,95.997
Ali Cabbar,Emir Can İğrek,calm,0.442,0.357,0.382,129.156
Man Of The Year,Juice WRLD,calm,0.298,0.695,0.621,173.966
Voilà,Barbara Pravi,calm,0.603,0.337,0.447,135.379
Berlin lebt,Capital Bra,calm,0.393,0.655,0.651,78.665
Sauce It Up,Lil Uzi Vert,calm,0.131,0.528,0.813,79.532
edamame,"bbno$, Rich Brian",happy,0.684,0.848,0.815,106.032
Where Have You Been,Rihanna,energetic,0.444,0.847,0.719,127.963
Surround Sound (feat. 21 Savage & Baby Tate),"JID, 21 Savage, Baby Tate",calm,0.471,0.56,0.575,75.956
Not Afraid Anymore,Halsey,energetic,0.477,0.731,0.548,131.973
Empty Space,James Arthur,calm,0.321,0.531,0.404,164.848
Snake Skin,Trippie Redd,calm,0.553,0.557,0.669,144.043
Emotionless,Drake,calm,0.0827,0.676,0.413,173.478
Runaway,AURORA,sad,0.123,0.302,0.422,114.089
Lose Yourself,Eminem,energetic,0.0596,0.735,0.686,171.355
Money Bag,Cardi B,energetic,0.454,0.788,0.947,129.977
Liberdade Provisória - Live - Ibirapuera / 2019,Henrique & Juliano,happy,0.7,0.684,0.668,108.138
A Lie,"French Montana, The Weeknd, Max B",energetic,0.524,0.792,0.516,121.189
Dance The Night - From Barbie The Album,Dua Lipa,happy,0.775,0.845,0.671,110.056
I Believe,Jonas Brothers,energetic,0.35,0.774,0.749,99.019
Cops Shot The Kid,"Nas, Kanye West",energetic,0.508,0.71,0.442,205.116
My Way,Calvin Harris,energetic,0.536,0.913,0.818,119.986
"Angel Pt. 1 (feat. Jimin of BTS, JVKE & Muni Long)","Kodak Black, NLE Choppa, Jimin, JVKE, Muni Long, Fast & Furious: The Fast Saga",calm,0.277,0.681,0.715,84.924
HEATED,Beyoncé,energetic,0.496,0.732,0.785,110.952
Perfect Places,Lorde,calm,0.537,0.574,0.621,104.344
RIP Luv,"21 Savage, Metro Boomin",sad,0.0657,0.399,0.63,183.016
Swervin (feat. 6ix9ine),"A Boogie Wit da Hoodie, 6ix9ine",calm,0.434,0.662,0.581,93.023
A&W,Lana Del Rey,sad,0.134,0.248,0.416,161.667
Get Up,NewJeans,calm,0.562,0.526,0.525,85.274
west side,Ariana Grande,calm,0.557,0.455,0.688,87.865
I Like Me Better,Lauv,calm,0.419,0.505,0.752,91.97
Polaroid,"Jonas Blue, Liam Payne, Lennon Stella",energetic,0.475,0.897,0.652,114.033
Yes Indeed,"Lil Baby, Drake",calm,0.562,0.346,0.964,119.958
Snow On The Beach (feat. Lana Del Rey),"Taylor Swift, Lana Del Rey",sad,0.193,0.319,0.663,109.957
MI FAI IMPAZZIRE,"BLANCO, Sfera Ebbasta",energetic,0.203,0.844,0.477,169.941
Next,"Ufo361, RIN",energetic,0.31,0.749,0.825,154.943
Symphony (feat. Zara Larsson),"Clean Bandit, Zara Larsson",calm,0.457,0.629,0.707,122.863
Bandido,"Myke Towers, Juhn",happy,0.682,0.617,0.713,168.021
Romantic Homicide,d4vd,calm,0.216,0.544,0.571,132.052
Savage Love (Laxed - Siren Beat),"Jawsh 685, Jason Derulo",calm,0.761,0.481,0.767,150.076
R.E.M,Ariana Grande,calm,0.622,0.485,0.831,80.022
STOP TRYING TO BE GOD,Travis Scott,calm,0.113,0.567,0.588,150.009
Ransom,Lil Tecca,calm,0.226,0.642,0.745,179.974
I'm Sorry,Lil Uzi Vert,calm,0.303,0.547,0.858,128.02
Demons,Doja Cat,sad,0.344,0.341,0.821,139.885
Moon,BTS,happy,0.64,0.646,0.703,141.87
Elvira,"Oscar Maydon, Gabito Ballesteros, Chino Pacas",happy,0.798,0.711,0.76,128.134
Scooby Doo Pa Pa,Dj Kass,happy,0.63,0.754,0.91,120.939
Rush,Ayra Starr,calm,0.381,0.503,0.792,99.97
Vigilante Shit,Taylor Swift,sad,0.163,0.277,0.798,79.846
Chasing Fire,Lauv,calm,0.386,0.562,0.709,125.965
Mo Bamba,Sheck Wes,calm,0.261,0.625,0.729,146.034
She Knows This,Kid Cudi,energetic,0.312,0.724,0.39,165.945
CUFF IT,Beyoncé,happy,0.642,0.689,0.78,115.042
One Dance,"Drake, Wizkid, Kyla",calm,0.371,0.619,0.791,103.989
Cradles,Sub Urban,calm,0.632,0.589,0.534,78.616
Leave Out All The Rest,Linkin Park,calm,0.18,0.637,0.514,80.401
Heaven,Niall Horan,happy,0.681,0.761,0.571,91.991
Life's A Mess (feat. Halsey),"Juice WRLD, Halsey",sad,0.186,0.448,0.636,143.124
Bubblegum Bitch,MARINA,happy,0.609,0.856,0.495,158.024
BaeBae,Samra,energetic,0.45,0.712,0.628,86.627
Donald Trump,Mac Miller,happy,0.797,0.898,0.632,162.974
Rich Baby Daddy (feat. Sexyy Red & SZA),"Drake, Sexyy Red, SZA",energetic,0.142,0.729,0.645,146.01
"Tough Love (feat. Agnes, Vargas & Lagola)","Avicii, Agnes, Vargas & Lagola",happy,0.621,0.754,0.402,108.17
Hawái,Maluma,energetic,0.558,0.727,0.783,180.067
Winter Wonderland,Tony Bennett,calm,0.586,0.453,0.453,116.098
BUTTERFLY EFFECT,Travis Scott,calm,0.182,0.598,0.763,140.987
Diamonds,Rihanna,energetic,0.393,0.71,0.564,91.972
Thunder,Imagine Dragons,energetic,0.288,0.822,0.605,167.997
Dear John (Taylor's Version),Taylor Swift,sad,0.133,0.47,0.419,119.294
SI ELLA SALE,Bad Bunny,happy,0.92,0.727,0.869,147.967
The Heart Part 4,Kendrick Lamar,calm,0.55,0.434,0.669,129.326
hope ur ok,Olivia Rodrigo,sad,0.172,0.298,0.443,77.253
One Dance,"Drake, Wizkid, Kyla",calm,0.37,0.625,0.792,103.967
Run,Joji,energetic,0.361,0.72,0.448,157.919
Échame La Culpa,"Luis Fonsi, Demi Lovato",happy,0.64,0.895,0.724,96.022
Hey Mor,"Ozuna, Feid",calm,0.399,0.589,0.901,98.002
We Found Love,"Rihanna, Calvin Harris",energetic,0.6,0.766,0.734,127.986
X Gon' Give It To Ya,DMX,happy,0.673,0.899,0.761,95.027
Wolke 10,MERO,energetic,0.393,0.797,0.77,100.003
Kelly Price (feat. Travis Scott),"Migos, Travis Scott",calm,0.437,0.686,0.745,121.978
Bande organisée,"Kofs, Soso Maness, Elams, Jul, SCH, Naps, Solda, Houari, 13 Organisé",happy,0.805,0.939,0.901,142.948
Unsainted,Slipknot,energetic,0.248,0.944,0.427,101.078
Hey DJ,"CNCO, Yandel",energetic,0.433,0.819,0.792,89.98
Best Friend (feat. Doja Cat),"Saweetie, Doja Cat",energetic,0.402,0.766,0.84,94.018
"I DID IT (feat. Post Malone, Megan Thee Stallion, Lil Baby & DaBaby)","DJ Khaled, Post Malone, DaBaby, Megan Thee Stallion, Lil Baby",energetic,0.364,0.721,0.757,124.036
Down (feat. Gucci Mane),"Fifth Harmony, Gucci Mane",calm,0.401,0.512,0.53,196.121
Yellow Hearts,Ant Saunders,calm,0.713,0.399,0.866,129.047
Goosebumps,HVME,calm,0.439,0.659,0.767,124.946
WAKE UP,Travis Scott,calm,0.488,0.645,0.741,149.07
Therefore I Am,Billie Eilish,calm,0.663,0.365,0.879,94.016
Dile Que Tu Me Quieres,Ozuna,happy,0.825,0.687,0.721,175.914
"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)","Rudimental, Jess Glynne, Macklemore, Dan Caplen",energetic,0.574,0.798,0.654,92.207
pick up the phone,"Young Thug, Travis Scott",energetic,0.43,0.739,0.711,136.919
Do It To It,"ACRAZE, Cherish",happy,0.637,0.806,0.854,124.927
GODS,"League of Legends, NewJeans",energetic,0.492,0.765,0.588,145.988
Miss Americana & The Heartbreak Prince,Taylor Swift,energetic,0.487,0.747,0.662,150.088
REPEAT IT (with Gunna),"Lil Tecca, Gunna",calm,0.588,0.687,0.681,108.641
Chica Ideal,"Sebastian Yatra, Guaynaa",happy,0.707,0.891,0.574,100.978
BABY HELLO,"Rauw Alejandro, Bizarrap",happy,0.842,0.893,0.773,130.013
NEVER LEFT,Lil Tecca,calm,0.438,0.659,0.807,82.465
In My Blood,Shawn Mendes,energetic,0.488,0.709,0.622,140.018
LO$ER=LO♡ER,TOMORROW X TOGETHER,happy,0.687,0.867,0.644,124.997
Blast Off,"Bruno Mars, Anderson .Paak, Silk Sonic",calm,0.346,0.548,0.482,76.017
Circles,Post Malone,energetic,0.553,0.762,0.695,120.042
die first,Nessa Barrett,calm,0.44,0.669,0.444,183.441
Who Dat Boy (feat. A$AP Rocky),"Tyler, The Creator, A$AP Rocky",sad,0.144,0.485,0.706,115.414
Around Me (feat. Don Toliver),"Metro Boomin, Don Toliver",calm,0.084,0.67,0.693,119.907
Woman Like Me (feat. Nicki Minaj),"Little Mix, Nicki Minaj",happy,0.8,0.854,0.754,75.002
Pa Mí - Remix,"Dalex, Rafa Pabön, KHEA, Sech, Feid, Cazzu, Lenny Tavárez",happy,0.727,0.62,0.688,170.018
Gasolina,Daddy Yankee,happy,0.741,0.797,0.852,96.008
BAD!,XXXTENTACION,sad,0.374,0.492,0.78,143.983
Blueberry Faygo,Lil Mosey,calm,0.349,0.554,0.774,99.034
De Cora <3,"Rauw Alejandro, J Balvin",calm,0.571,0.683,0.811,176.037
Dial Drunk (with Post Malone),"Noah Kahan, Post Malone",happy,0.681,0.613,0.667,112.046
Can't Feel My Face,The Weeknd,energetic,0.583,0.769,0.705,107.949
The Way I Loved You (Taylor’s Version),Taylor Swift,energetic,0.472,0.732,0.402,161.032
Desire (with Sam Smith),"Calvin Harris, Sam Smith",energetic,0.509,0.924,0.587,140.009
Ahora Dice,"Chris Jedi, J Balvin, Ozuna, Arcángel",calm,0.427,0.693,0.708,143.965
Benz Truck (гелик),Lil Peep,energetic,0.112,0.762,0.602,92.02
"Hey Look Ma, I Made It",Panic! At The Disco,energetic,0.58,0.833,0.577,107.936
Fuego,Eleni Foureira,energetic,0.589,0.758,0.589,101.037
Magic Shop,BTS,calm,0.285,0.661,0.541,149.926
Sem Aliança no Dedo,"MC Xenon, Os Gemeos da Putaria",sad,0.399,0.355,0.532,82.713
Can't Hold Us (feat. Ray Dalton),"Macklemore & Ryan Lewis, Macklemore, Ryan Lewis, Ray Dalton",happy,0.88,0.927,0.633,146.097
Sucker,Jonas Brothers,happy,0.952,0.734,0.842,137.958
Africa,TOTO,calm,0.732,0.373,0.671,92.718
Shot in the Dark,John Mayer,calm,0.587,0.556,0.741,122.008
No Se Va - EN VIVO,Grupo Frontera,calm,0.692,0.527,0.594,172.712
Chlorine,Twenty One Pilots,calm,0.315,0.674,0.609,90.009
No Return (with The Kid LAROI & Lil Durk),"Polo G, The Kid LAROI, Lil Durk",calm,0.381,0.645,0.479,155.057
(It Goes Like) Nanana - Edit,Peggy Gou,happy,0.964,0.876,0.671,129.998
TE DESEO LO MEJOR,Bad Bunny,calm,0.194,0.597,0.763,126.054
Flight's Booked,Drake,sad,0.201,0.41,0.593,122.584
NADIE SABE,Bad Bunny,energetic,0.582,0.711,0.529,170.305
FEAR.,Kendrick Lamar,calm,0.434,0.479,0.588,150.414
Life Goes On,BTS,energetic,0.45,0.716,0.566,81.068
Hit My Line,Logic,happy,0.679,0.786,0.62,164.057
Members Only (feat. PARTYNEXTDOOR),"Drake, PARTYNEXTDOOR",sad,0.176,0.34,0.647,91.998
MAMACITA,"Black Eyed Peas, Ozuna, J. Rey Soul",calm,0.441,0.626,0.88,105.01
The Night We Met,Lord Huron,sad,0.102,0.368,0.544,86.99
Black Swan,BTS,energetic,0.49,0.758,0.719,147.023
Red Eye (feat. TroyBoi),"Justin Bieber, TroyBoi",happy,0.774,0.816,0.815,96.033
Roses - Imanbek Remix,"SAINt JHN, Imanbek",happy,0.898,0.724,0.77,121.975
Everything We Need,"Kanye West, Ty Dolla $ign, Ant Clemons",calm,0.463,0.416,0.894,116.96
Pineapple,KAROL G,happy,0.667,0.671,0.782,94.981
Rain On Me (with Ariana Grande),"Lady Gaga, Ariana Grande",happy,0.646,0.855,0.672,123.056
A Tu Manera,"Junior H, Peso Pluma",calm,0.501,0.577,0.747,96.996
Rolê,"Tarcísio do Acordeon, Marcynho Sensação",happy,0.96,0.775,0.681,160.067
Celebration Station,Lil Uzi Vert,happy,0.792,0.771,0.748,142.086
Sorry Not Sorry,Demi Lovato,happy,0.868,0.638,0.701,144.084
Keanu Reeves,Logic,happy,0.816,0.888,0.71,170.193
Not In The Mood (feat. Fivio Foreign & Kay Flock),"Lil Tjay, Fivio Foreign, Kay Flock",energetic,0.357,0.82,0.545,141.908
Gatita,Bellakath,happy,0.762,0.81,0.895,100.999
Primera Cita,Carin Leon,calm,0.488,0.395,0.535,157.795
QUE PRETENDES,"J Balvin, Bad Bunny",happy,0.939,0.791,0.639,92.603
The Hills,The Weeknd,calm,0.109,0.567,0.356,135.553
Here Comes Santa Claus (Right Down Santa Claus Lane) - 1947 Version,Gene Autry,calm,0.976,0.371,0.834,96.628
Relationship (feat. Future),"Young Thug, Future",calm,0.298,0.597,0.842,145.992
Black Hearted,Polo G,calm,0.153,0.563,0.506,168.146
Flocky Flocky (feat. Travis Scott),"Don Toliver, Travis Scott",calm,0.194,0.541,0.8,135.99
Sweet but Psycho,Ava Max,happy,0.628,0.704,0.719,133.002
Painting Pictures,Polo G,calm,0.459,0.466,0.522,78.43
maybe (feat. Bring Me The Horizon),"mgk, Bring Me The Horizon",energetic,0.537,0.92,0.601,88.014
Got It On Me,Pop Smoke,calm,0.195,0.647,0.688,88.834
Hobby Hobby,MERO,happy,0.857,0.75,0.737,81.955
De Museo,Bad Bunny,sad,0.231,0.494,0.592,132.037
Bloodstream,The Chainsmokers,calm,0.164,0.627,0.62,90.955
Privilege,The Weeknd,calm,0.379,0.595,0.391,93.78
Once A Day,Mac Miller,sad,0.339,0.054,0.762,96.838
Holy Smokes (feat. Lil Uzi Vert),"Trippie Redd, Lil Uzi Vert",calm,0.67,0.491,0.422,184.344
HACIENDO QUE ME AMAS,Bad Bunny,calm,0.412,0.411,0.584,169.934
love is embarrassing,Olivia Rodrigo,happy,0.677,0.831,0.52,160.035
Atrévete,"Nicky Jam, Sech",calm,0.586,0.675,0.552,183.785
People,Libianca,calm,0.693,0.422,0.573,124.357
Tak Segampang Itu,Anggi Marito,sad,0.178,0.438,0.506,129.538
Thunder,Imagine Dragons,energetic,0.238,0.813,0.605,167.997
Die For You,Joji,calm,0.154,0.518,0.472,147.805
Taped Up Heart (feat. Clara Mae),"KREAM, Clara Mae",energetic,0.567,0.937,0.675,103.961
BOOKER T,Bad Bunny,calm,0.691,0.6,0.883,113.903
Teeth,5 Seconds of Summer,calm,0.431,0.448,0.756,139.031
PARA SIEMPRE,"Daddy Yankee, Sech",energetic,0.368,0.828,0.794,90.015
make up,Ariana Grande,energetic,0.477,0.714,0.671,105.137
Make You Feel My Love,Adele,sad,0.0963,0.172,0.317,65.18
Bodak Yellow,Cardi B,energetic,0.458,0.723,0.929,125.022
NI BIEN NI MAL,Bad Bunny,sad,0.337,0.449,0.826,128.028
Jumpman,"Drake, Future",calm,0.656,0.553,0.852,142.079
INDUSTRY BABY (feat. Jack Harlow),"Lil Nas X, Jack Harlow",happy,0.894,0.704,0.736,149.995
WITHOUT YOU,The Kid LAROI,calm,0.467,0.413,0.662,93.005
Up To Something (feat. Travis Scott & Young Thug),"Metro Boomin, Travis Scott, Young Thug",happy,0.667,0.616,0.799,114.014
911 (Remix),"Sech, Jhayco",happy,0.784,0.71,0.816,93.02
Happy Xmas (War Is Over) - Remastered 2010,"John Lennon, Yoko Ono",calm,0.414,0.64,0.321,146.172
Cheap Thrills,Sia,happy,0.732,0.698,0.628,89.976
Love You Different (feat. BEAM),"Justin Bieber, BEAM",calm,0.374,0.584,0.759,127.138
Esquema Preferido,"DJ Ivis, Tarcísio do Acordeon",happy,0.917,0.812,0.669,159.934
BILLIE EILISH.,Armani White,calm,0.765,0.509,0.9,100.007
CAN'T SAY,Travis Scott,happy,0.713,0.708,0.702,147.98
GOTTI,6ix9ine,calm,0.365,0.584,0.728,161.9
"Solo Dolo, Pt. III",Kid Cudi,energetic,0.52,0.727,0.589,152.058
Driving Home for Christmas - 2019 Remaster,Chris Rea,calm,0.866,0.583,0.513,180.183
Gan-Ga - Remix,"Bryant Myers, Anuel AA",calm,0.402,0.572,0.862,90.053
Nothing Breaks Like a Heart (feat. Miley Cyrus),"Mark Ronson, Miley Cyrus",energetic,0.244,0.794,0.601,114.066
Tick Tock (feat. 24kGoldn),"Clean Bandit, Mabel, 24kGoldn",happy,0.946,0.705,0.779,101.022
Midnight Sky,Miley Cyrus,energetic,0.259,0.814,0.705,110.0
Lucid Dreams,Juice WRLD,calm,0.218,0.566,0.511,83.903
Yankee 150,"Yandel, Feid, Daddy Yankee",happy,0.628,0.821,0.72,167.998
Not Alike (feat. Royce Da 5'9),"Eminem, Royce Da 5'9""",energetic,0.342,0.756,0.904,140.005
Me Fui de Vacaciones,Bad Bunny,calm,0.434,0.645,0.714,85.046
Fuck it I love you,Lana Del Rey,sad,0.2,0.453,0.521,129.9
MARYLEAN (feat. Marracash) - prod. Low Kidd,"MACHETE, Salmo, Nitro, Marracash",happy,0.661,0.646,0.722,136.955
Glow,"Drake, Kanye West",calm,0.432,0.384,0.688,162.098
The Kind of Love We Make,Luke Combs,energetic,0.464,0.745,0.608,102.025
Sweet Melody,Little Mix,energetic,0.419,0.824,0.448,119.965
Blanka,PNL,calm,0.394,0.564,0.798,108.004
FEARLESS,LE SSERAFIM,calm,0.432,0.62,0.863,103.971
Christmas Time Is Here,Vince Guaraldi Trio,sad,0.0911,0.145,0.388,75.474
Sky,Playboi Carti,energetic,0.565,0.903,0.785,139.98
More M’s,"Drake, 21 Savage",calm,0.0713,0.504,0.704,82.537
223's (feat. 9lokknine),"YNW Melly, 9lokknine",calm,0.695,0.547,0.932,94.998
You Need To Calm Down,Taylor Swift,happy,0.706,0.678,0.768,85.025
Excuses,"AP Dhillon, Gurinder Gill, Intense",energetic,0.494,0.717,0.837,94.984
Lean Wit Me,Juice WRLD,calm,0.237,0.651,0.665,163.935
Self,Khalid,calm,0.439,0.693,0.618,143.98
Not Finished,Lil Baby,calm,0.0855,0.524,0.785,142.007
emo girl (feat. WILLOW),"mgk, WILLOW",energetic,0.357,0.881,0.41,165.006
La Haine,Luciano,calm,0.579,0.655,0.841,101.976
Don't Shut Me Down,ABBA,calm,0.565,0.604,0.719,99.993
IDOL,BTS,energetic,0.422,0.855,0.734,126.035
You Was Right,Lil Uzi Vert,sad,0.156,0.359,0.843,81.987
The Middle,"Zedd, Maren Morris, Grey",calm,0.431,0.652,0.748,106.914
Komang,Raim Laode,sad,0.349,0.412,0.696,133.913
Ao Vivo E A Cores,"Matheus & Kauan, Anitta",calm,0.42,0.526,0.668,135.032
Floating Through Space,"Sia, David Guetta",energetic,0.277,0.844,0.575,104.914
Dynamite (feat. Pretty Sister),"Nause, Pretty Sister",happy,0.693,0.801,0.811,105.055
Intro,J. Cole,calm,0.545,0.28,0.512,111.446
Deep End Freestyle,"Sleepy Hallow, Fousheé",calm,0.776,0.479,0.868,133.928
No Me Ame,"Rvssian, Anuel AA, Juice WRLD",energetic,0.28,0.766,0.68,160.095
Dope Niggaz (feat. Snoop Dogg),"Lil Wayne, Snoop Dogg",happy,0.644,0.709,0.752,84.974
Rich - Interlude,Kendrick Lamar,calm,0.741,0.406,0.481,91.589
Boomerang,Imagine Dragons,calm,0.347,0.559,0.429,100.073
Pepas,Farruko,energetic,0.442,0.766,0.762,130.001
Cuerpo en Venta,"Noriel, Myke Towers, Rauw Alejandro, Almighty",calm,0.408,0.601,0.696,91.924
Bezerk (feat. A$AP Ferg),"Big Sean, Hit-Boy, A$AP Ferg",calm,0.265,0.687,0.684,184.026
Nostálgico,"Rvssian, Rauw Alejandro, Chris Brown",happy,0.604,0.846,0.734,98.026
Miss The Rage,"Trippie Redd, Playboi Carti",energetic,0.369,0.859,0.584,77.005
Shoota (feat. Lil Uzi Vert),"Playboi Carti, Lil Uzi Vert",calm,0.47,0.649,0.673,153.075
Beat the Odds,Lil Tjay,calm,0.478,0.625,0.498,84.821
ERE,juan karlos,calm,0.257,0.571,0.48,146.051
Hurts 2B Human (feat. Khalid),"P!nk, Khalid",calm,0.158,0.62,0.463,83.031
Getting Over You,Lauv,calm,0.114,0.507,0.604,91.984
Flaws And Sins,Juice WRLD,calm,0.439,0.662,0.709,150.046
Broken Arrows,Avicii,calm,0.298,0.674,0.634,115.995
Knife Talk (with 21 Savage ft. Project Pat),"Drake, 21 Savage, Project Pat",sad,0.153,0.424,0.849,145.887
Until I Bleed Out,The Weeknd,sad,0.148,0.394,0.245,115.233
2002,Anne-Marie,happy,0.603,0.683,0.697,96.133
7 Minutes,Dean Lewis,happy,0.712,0.739,0.613,104.966
Make Me (Cry),"Noah Cyrus, Labrinth",sad,0.209,0.471,0.588,152.881
Clean (Taylor's Version),Taylor Swift,sad,0.239,0.386,0.771,103.96
Andromeda (feat. DRAM),"Gorillaz, DRAM",sad,0.257,0.472,0.788,130.084
Crowded Room (feat. 6LACK),"Selena Gomez, 6LACK",sad,0.328,0.415,0.724,89.999
Die For Me (feat. Future & Halsey),"Post Malone, Halsey, Future",calm,0.452,0.66,0.614,145.01
New Normal,Khalid,calm,0.244,0.534,0.39,92.047
The Ocean (feat. Shy Martin),"Mike Perry, shy martin",calm,0.188,0.575,0.632,90.037
Loca - Remix,"KHEA, Bad Bunny, Duki, Cazzu",energetic,0.537,0.751,0.795,113.033
Blind,SZA,calm,0.599,0.279,0.461,114.225
Only Want You,Rita Ora,calm,0.376,0.528,0.654,82.014
double take,Dhruv,sad,0.223,0.434,0.654,109.069
DDU-DU DDU-DU,BLACKPINK,energetic,0.372,0.86,0.665,139.973
Mr. Perfectly Fine (Taylor’s Version) (From The Vault),Taylor Swift,happy,0.714,0.817,0.66,135.942
Otra Noche Sin Ti,"J Balvin, Khalid",calm,0.441,0.548,0.503,94.036
Selfish (feat. Rihanna),"Future, Rihanna",sad,0.0913,0.369,0.415,95.746
Feliz Cumpleaños Ferxxo,Feid,calm,0.563,0.573,0.865,94.999
BENDICIONES,Bad Bunny,calm,0.843,0.581,0.828,143.995
Halo,Beyoncé,energetic,0.471,0.712,0.422,78.454
Stunnin' (feat. Harm Franklin) (Explicit),"Curtis Waters, Harm Franklin",happy,0.937,0.685,0.885,99.954
Rich Sex (feat. Lil Wayne),"Nicki Minaj, Lil Wayne",calm,0.568,0.635,0.879,146.97
My Choppa Hate Niggas,"21 Savage, Metro Boomin",sad,0.154,0.274,0.862,77.492
Reggaeton,J Balvin,energetic,0.552,0.74,0.747,176.059
Less Than Zero,The Weeknd,energetic,0.5,0.791,0.535,142.981
Bam Bam (feat. Ed Sheeran),"Camila Cabello, Ed Sheeran",happy,0.956,0.697,0.756,94.996
Safaera,"Bad Bunny, Jowell & Randy, Ñengo Flow",happy,0.685,0.829,0.607,96.172
The Spectre,Alan Walker,energetic,0.198,0.711,0.654,127.957
No Limit,"G-Eazy, A$AP Rocky, Cardi B",energetic,0.405,0.771,0.838,175.957
Lemonade (feat. NAV),"Internet Money, Gunna, Don Toliver, NAV",calm,0.462,0.658,0.8,140.042
Your Heart,"Joyner Lucas, J. Cole",happy,0.754,0.637,0.861,87.006
House of Memories,Panic! At The Disco,energetic,0.506,0.817,0.506,109.952
EN CASITA,"Bad Bunny, Gabriela",happy,0.675,0.764,0.779,158.093
Beautiful Trauma,P!nk,calm,0.234,0.619,0.412,95.943
Open Letter,Lil Wayne,calm,0.361,0.55,0.765,97.004
My Little Love,Adele,sad,0.102,0.492,0.339,151.865
FEFE (feat. Nicki Minaj & Murda Beatz),"6ix9ine, Nicki Minaj, Murda Beatz",sad,0.376,0.387,0.931,125.978
Punto G,KAROL G,happy,0.905,0.746,0.791,165.994
feel like shit,Tate McRae,sad,0.161,0.378,0.508,144.962
iSpy (feat. Lil Yachty),"KYLE, Lil Yachty",happy,0.672,0.653,0.746,75.016
La Boca - Remix,"Mau y Ricky, Camilo, Lunay",happy,0.85,0.773,0.691,92.992
Never Grow Up (Taylor's Version),Taylor Swift,calm,0.569,0.323,0.685,125.058
CHopstix (feat. Travis Scott),"ScHoolboy Q, Travis Scott",calm,0.619,0.597,0.958,127.931
Only Girl (In The World),Rihanna,happy,0.638,0.706,0.789,125.911
Futsal Shuffle 2020,Lil Uzi Vert,sad,0.296,0.457,0.881,136.97
the last great american dynasty,Taylor Swift,happy,0.706,0.662,0.686,147.922
Make It Back,Juice WRLD,calm,0.739,0.387,0.75,143.019
Rockin' Around The Christmas Tree,Brenda Lee,calm,0.898,0.472,0.589,67.196
Dembow,Danny Ocean,energetic,0.45,0.744,0.802,99.983
Hotline Bling,Drake,calm,0.539,0.62,0.903,134.96
Sprinter,"Dave, Central Cee",calm,0.661,0.583,0.916,141.095
Have Yourself A Merry Little Christmas - Remastered 1999,Frank Sinatra,sad,0.288,0.137,0.262,92.183
Last Christmas,Wham!,calm,0.947,0.478,0.735,107.682
EL MAKINON,"KAROL G, Mariah Angeliq",energetic,0.443,0.706,0.635,88.863
monster,21 Savage,calm,0.224,0.607,0.89,134.022
Telepathy,BTS,calm,0.57,0.669,0.787,104.994
FANCY,TWICE,happy,0.775,0.874,0.697,132.022
Natural,Imagine Dragons,calm,0.22,0.611,0.704,100.0
SAOKO,ROSALÍA,happy,0.734,0.768,0.827,99.988
N95,Kendrick Lamar,calm,0.408,0.67,0.79,139.956
Snitching (feat. Quavo & Future),"Pop Smoke, Quavo, Future",calm,0.769,0.579,0.944,135.033
